Ranking,Region,Population Density
1,New Jersey,1259
2,Rhode Island,1055
3,Massachusetts,894
4,Connecticut,749
5,Maryland,634
6,Delaware,529
7,Florida,423
8,New York,414
9,Pennsylvania,289
10,Ohio,288
11,California,250
12,Illinois,225
13,Hawaii,223
13,North Carolina,223
15,Virginia,221
16,Georgia,192
17,Indiana,191
18,South Carolina,179
19,Michigan,177
20,Tennessee,173
21,New Hampshire,157
22,Washington,118
23,Texas,117
24,Kentucky,114
25,Wisconsin,109
26,Louisiana,105
27,Alabama,101
28,Missouri,90
29,West Virginia,73
30,Minnesota,72
31,Vermont,70
32,Arizona,66
33,Mississippi,62
34,Oklahoma,59
34,Arkansas,59
36,Colorado,57
36,Iowa,57
38,Maine,45
39,Oregon,44
40,Utah,42
41,Kansas,36
42,Nevada,29
43,Nebraska,26
44,Idaho,24
45,New Mexico,17
46,South Dakota,12
47,North Dakota,11
48,Montana,8
49,Wyoming,6
50,Alaska,1